ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|7aef6ef7ad4a5cdd1a820661f3a1ab8b|2025-03-05|05:50:24|1741150224|gas_transport|57.93|0|fraud_Sporer Inc|35.023574|-81.273556
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|e2da12540b93813904922f005a59c1f6|2025-03-09|07:17:05|1741501025|gas_transport|60.35|0|fraud_Kuvalis Ltd|35.223287|-80.462135
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|9acdce1688ea980a4b9c6e63218fa283|2025-03-08|09:27:18|1741422438|gas_transport|44.31|0|fraud_Cummings LLC|36.522461|-79.685902
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ca20a55000309546c09daafbae706233|2025-03-05|00:31:05|1741131065|gas_transport|110.69|0|fraud_Schmitt Inc|35.494076|-80.831019
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|d83190a41c58f1ca8fb46e4d761d5591|2025-03-06|11:49:11|1741258151|gas_transport|65.15|0|fraud_Cummings LLC|35.749879|-81.421358
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|a360a88a1fe4fb06af9110a204ed37e9|2025-03-07|00:21:08|1741303268|gas_transport|58.86|0|fraud_Raynor, Feest and Miller|36.020742|-80.928437
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|8b787bba4aabadab1f0fc5654591697b|2025-03-19|00:49:30|1742341770|grocery_pos|84.11|0|fraud_Goodwin-Nitzsche|34.690359|-79.925937
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|fbc8e00196a5ecb186b8d71fb13e1a16|2025-03-01|06:10:38|1740805838|gas_transport|63.76|0|fraud_Prohaska-Murray|35.451670|-80.802794
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|9c1041327837a74b48e68b4ef3683714|2025-03-20|09:19:24|1742458764|grocery_pos|109.81|0|fraud_Pacocha-O'Reilly|35.110851|-79.450608
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|88f67973ccc1f7a77fa3e061c205ccf4|2025-03-16|07:56:59|1742108219|grocery_pos|47.98|0|fraud_Bauch-Raynor|35.843561|-80.114075
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|3ab3ddd9633343a72aedb9142177104f|2025-03-10|03:47:35|1741574855|grocery_net|78.66|0|fraud_Roob LLC|36.441015|-80.751562
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|08b9eee0d0eba4ebdd4a9c8a59ef76a3|2025-03-14|06:23:09|1741929789|grocery_net|99.29|0|fraud_Kling-Grant|35.757750|-80.385616
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|d72987f4e904d13860a24319e984a0b3|2025-03-23|10:44:57|1742723097|grocery_pos|96.09|0|fraud_Hudson-Ratke|35.895441|-80.565703
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|70695418f05e3bf4fb06501b14b3187c|2025-03-15|04:13:14|1742008394|grocery_net|61.32|0|fraud_Kohler, Lindgren and Koelpin|36.206970|-81.240333
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|00da276a0edea5e5db32c14728a73f33|2025-03-02|00:56:38|1740873398|gas_transport|50.13|0|fraud_Huels-Nolan|35.062860|-81.102028
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|96d3e3fdfb52095b9f18e2eb4e7a3101|2025-03-12|06:56:06|1741758966|grocery_net|77.93|0|fraud_Runolfsson and Sons|34.554926|-80.356464
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|527a2d50e62179713ab4e457a0f198ad|2025-03-26|01:38:01|1742949481|misc_net|60.62|0|fraud_Dach-Nader|35.763729|-79.844276
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|2569de1fe8eed5ce754f19bf0b6c7e03|2025-03-17|00:33:29|1742168009|grocery_pos|53.42|0|fraud_Schamberger-O'Keefe|34.552111|-79.877163
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|78a0f48f2ed8574b27089b5ccc76ee94|2025-03-03|06:01:03|1740978063|gas_transport|53.20|0|fraud_Bins-Rice|36.198155|-80.441428
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|a33091de898f4b95090ea75ec2f6f057|2025-03-12|01:38:49|1741739929|grocery_net|68.95|0|fraud_Rempel PLC|35.440851|-79.779151
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ee48478d0b2a2f9cbf05334f2985d5d5|2025-03-15|01:46:34|1741999594|grocery_net|26.51|0|fraud_Morar Inc|35.311437|-81.078646
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ee795efecb6714d35f2704c43237bcc1|2025-03-24|03:02:11|1742781731|misc_net|65.75|0|fraud_Ruecker Group|34.999657|-79.556345
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ac6d91c3309aa2095a078c5f7e6ede39|2025-03-02|05:04:36|1740888276|gas_transport|22.95|0|fraud_Erdman-Kertzmann|36.523667|-80.248732
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|39e43abde34639aab5ef00ed571a91e4|2025-03-15|05:58:19|1742014699|grocery_pos|25.06|0|fraud_Strosin-Cruickshank|35.497252|-80.205425
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|5011f18d4b1bb835e5754fd9be42d198|2025-03-22|00:26:00|1742599560|grocery_pos|61.12|0|fraud_Schamberger-O'Keefe|34.905165|-79.526192
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ab987b54e0661e91b62ca780309ae404|2025-03-17|10:42:04|1742204524|grocery_pos|44.05|0|fraud_Mosciski, Gislason and Mertz|34.983955|-79.616426
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|cb7c1127ebab4cec6d168494c89cf827|2025-03-14|05:51:53|1741927913|grocery_net|23.46|0|fraud_Kohler, Lindgren and Koelpin|35.334732|-80.033286
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|90f6b950b1d555de6ddf523869576077|2025-03-08|00:45:02|1741391102|gas_transport|72.72|0|fraud_Raynor, Feest and Miller|35.462831|-80.186095
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|d8be56c4adfa6698101e3e71c0cf9c65|2025-03-28|02:33:09|1743125589|misc_net|58.62|0|fraud_Jaskolski-Vandervort|34.901802|-80.661796
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|2da44133a7b3aeb4cfec8b0855bf7cec|2025-03-22|05:36:09|1742618169|grocery_pos|33.86|0|fraud_Schultz, Simonis and Little|34.739139|-80.523959
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|62764fb536e14d9c91dc19690349df7b|2025-03-02|02:02:20|1740877340|gas_transport|61.35|0|fraud_Parisian and Sons|35.144138|-80.252168
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|c064f2ea1f772216f2b6b8f86bfd59c5|2025-03-16|07:34:41|1742106881|grocery_pos|99.76|0|fraud_Padberg-Welch|36.049748|-81.329000
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|fba2ebd546a2c5388cbda3c5b13bb8c0|2025-03-28|09:40:33|1743151233|misc_net|74.00|0|fraud_Zemlak Group|34.926541|-80.271238
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|c69e4740b25e0bd162a1f411244b5b1f|2025-03-23|11:54:50|1742727290|grocery_pos|67.27|0|fraud_Schultz, Simonis and Little|35.342352|-80.619452
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|927d22309086dd23504a5b0aa8497d50|2025-03-28|04:50:56|1743133856|misc_net|56.06|0|fraud_Lebsack and Sons|35.582095|-80.126448
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|8520a384fff06c247f503bf5293ce869|2025-03-14|00:16:47|1741907807|grocery_net|74.83|0|fraud_Collier Inc|35.362456|-80.709877
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|f5a122b55c9711004a5562c529dfa34a|2025-03-01|08:59:07|1740815947|gas_transport|67.90|0|fraud_Jenkins, Hauck and Friesen|35.763805|-79.798617
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|3b740458c48064a419900e260f2f2f01|2025-03-11|05:04:07|1741665847|grocery_net|45.39|0|fraud_Runolfsson and Sons|35.105423|-80.726768
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ad1682a83a55e425642890fb3a78914e|2025-03-24|10:14:57|1742807697|misc_net|55.35|0|fraud_Bogisich-Homenick|35.707534|-81.125696
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|730d86de99ea5b5d48ed5b0ab7431a7f|2025-03-07|00:09:23|1741302563|gas_transport|85.82|0|fraud_Bins-Rice|36.300167|-79.881830
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|0000b29b7318d05340bafe9b7f7638a6|2025-03-14|08:32:17|1741937537|grocery_net|16.41|0|fraud_Kohler, Lindgren and Koelpin|34.643830|-80.584745
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|28bf9e06133b7140bfd3fe25beb7bd75|2025-03-26|08:00:20|1742972420|misc_net|66.30|0|fraud_Moore, Dibbert and Koepp|34.586949|-81.233101
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|718e75035a42ac7431a62cd09c5d8cc7|2025-03-02|09:34:11|1740904451|gas_transport|42.36|0|fraud_Friesen-D'Amore|35.128192|-80.290505
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|588cc842b2a56b871308dfa1c6d69866|2025-03-20|00:03:44|1742425424|grocery_pos|65.51|0|fraud_Bailey-Morar|36.393836|-80.514313
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|8c7690910ad5308513d276d64c67a778|2025-03-04|02:06:37|1741050397|gas_transport|68.83|0|fraud_Rodriguez Group|36.306294|-81.221876
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|b52e52e3e0574ceb79dcef9b8506170e|2025-03-04|07:13:16|1741068796|gas_transport|5.03|0|fraud_Stroman, Hudson and Erdman|36.188039|-81.367108
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|5ed92344840bfd02ae78824e203b9096|2025-03-13|05:22:02|1741839722|grocery_net|6.53|0|fraud_Johnston, Nikolaus and Maggio|34.795125|-80.247797
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|06fc8413ea7989f25bd9dc0ec35ec63a|2025-03-23|00:57:02|1742687822|grocery_pos|166.51|0|fraud_O'Keefe-Hudson|35.113914|-81.368931
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|ef2f258fe14cbb6aab31625e012e71e7|2025-03-07|06:05:05|1741323905|gas_transport|5.51|0|fraud_Kuvalis Ltd|35.096255|-80.261653
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|715a73163a7d283d4f5c017dc5061701|2025-03-03|01:43:12|1740962592|gas_transport|1.50|0|fraud_Conroy-Cruickshank|35.578196|-80.312200
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|cb2f1fa9813d62c58f5005ea1bf0308a|2025-03-01|08:02:03|1740812523|gas_transport|6.53|0|fraud_Kutch LLC|34.622245|-80.813349
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|7cc24e6d117b3b73cfc5584066ffc169|2025-03-22|07:08:32|1742623712|grocery_pos|7.38|0|fraud_Koepp-Parker|35.562825|-79.851002
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|202859064b1d8414a1514b8734cc62c9|2025-03-25|10:48:58|1742896138|misc_net|41.19|0|fraud_Bogisich-Homenick|35.265591|-79.996980
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|9f0b8e75087984795a2c97133031cc58|2025-04-11|12:52:21|1744368741|shopping_pos|49.49|0|fraud_Jewess LLC|36.366371|-79.729270
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|e7349d1522abd3c075e87cdf37003763|2025-05-06|13:57:50|1746532670|health_fitness|528.55|0|fraud_Fadel-Hilpert|36.228865|-80.166124
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|029aee1faaec11042f0467abcbac3a7f|2025-05-05|18:19:52|1746461992|health_fitness|1.39|0|fraud_Jacobi Inc|34.570438|-80.912481
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|02968223e6fbfc05bf4382c1ccde02fd|2025-05-21|22:35:53|1747859753|kids_pets|23.78|0|fraud_Hauck, Dietrich and Funk|34.565578|-80.437576
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|3aef6e5383908ab9886e034b9315224b|2025-05-10|14:31:50|1746880310|home|2.83|0|fraud_Denesik, Powlowski and Pouros|35.274480|-80.895888
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|f7c195926716884ca34530ed36b2391d|2025-05-07|18:25:24|1746635124|health_fitness|31.48|0|fraud_Kub-Heaney|36.060685|-79.804983
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|88562b46bb6418c8c0a9de527b8db3f1|2025-05-09|19:01:54|1746810114|home|6.89|0|fraud_Lynch-Wisozk|34.788863|-80.962289
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|44eb821d01e2cdd664c94ed01ce54f01|2025-04-18|20:36:01|1745001361|shopping_pos|9.54|0|fraud_Kihn Inc|36.544491|-80.820772
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|a822c1a77510006949c49cea8becf269|2025-05-16|20:35:21|1747420521|home|5.16|0|fraud_Denesik, Powlowski and Pouros|34.987639|-80.149632
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|328a78ba76334fb38cb174837dc77ca3|2025-04-04|23:52:01|1743803521|misc_pos|7.41|0|fraud_Spencer-Runolfsson|36.234288|-80.295452
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|872e50b28b177656f3c433d76cc3d922|2025-04-13|18:27:49|1744561669|shopping_pos|4.62|0|fraud_Torphy-Goyette|36.109465|-81.169425
